0, -0.3538991, 0.07687707, 1.108658, -0.2924015, 0.3645768, -0.09909237, -0.8785021, -0.5581048, -0.0327376, 0.9415004, 0.1510184, 0.7054192, 0.1278545, -0.6806104, -0.3790345, -0.5371855, 1.390175, 0.4956775, 0.3172768, -0.4279517, -0.6859276;
0.02990774, -0.3534997, 0.07714574, 1.10885, -0.2916322, 0.3645669, -0.09843735, -0.8788354, -0.5572759, -0.03266937, 0.9428251, 0.1525407, 0.7033334, 0.1289403, -0.6822227, -0.3791598, -0.5372919, 1.390142, 0.4924703, 0.3238809, -0.4493378, -0.6713194;
0.04508087, -0.352387, 0.07786392, 1.109106, -0.2892569, 0.3629744, -0.09479565, -0.8806781, -0.5550152, -0.03215749, 0.9463387, 0.153962, 0.6962034, 0.1318114, -0.688638, -0.3935451, -0.545361, 1.430809, 0.4893056, 0.3143639, -0.4645573, -0.6677889;
0.06793439, -0.3512973, 0.07871278, 1.108607, -0.2878165, 0.360804, -0.09198099, -0.8823387, -0.5527781, -0.03126013, 0.94955, 0.1529266, 0.6907899, 0.1358932, -0.6935098, -0.3966497, -0.5466902, 1.428794, 0.4983746, 0.2728851, -0.4677608, -0.6770201;
0.0931089, -0.350232, 0.07942981, 1.107568, -0.2858275, 0.3585581, -0.09073284, -0.8840284, -0.5494086, -0.0291588, 0.9522144, 0.159798, 0.6891268, 0.1435657, -0.6920677, -0.398666, -0.5168517, 1.438462, 0.4735703, 0.2118514, -0.4385462, -0.7338443;
0.1145153, -0.3492506, 0.08041521, 1.106321, -0.284113, 0.356856, -0.08889133, -0.8854558, -0.5452347, -0.0260472, 0.9547511, 0.1678613, 0.6866164, 0.1505603, -0.6911672, -0.3994202, -0.4920526, 1.441288, 0.4165538, 0.1431573, -0.4049935, -0.8012298;
0.136589, -0.3482687, 0.08166569, 1.105051, -0.2812389, 0.3558647, -0.08684777, -0.8869738, -0.5402994, -0.02138409, 0.9567179, 0.1826256, 0.6773312, 0.1525777, -0.6961253, -0.3981821, -0.4655174, 1.439607, 0.407733, 0.08662295, -0.3919944, -0.8201163;
0.1590056, -0.3468891, 0.08279715, 1.103403, -0.2783549, 0.3541354, -0.08445611, -0.8888047, -0.5358774, -0.01575899, 0.9578162, 0.1992462, 0.6730667, 0.150522, -0.6961503, -0.3946903, -0.4376182, 1.434846, 0.4260421, 0.03485866, -0.3652261, -0.8269721;
0.1790597, -0.344782, 0.0842073, 1.100667, -0.2769837, 0.3509541, -0.08332363, -0.8906, -0.5307282, -0.008463737, 0.9595876, 0.2143216, 0.6738214, 0.16341, -0.6879885, -0.3855, -0.4031493, 1.425743, 0.3891319, 0.01283128, -0.2932459, -0.8731658;
0.2042453, -0.341991, 0.0858478, 1.097997, -0.2765288, 0.3479557, -0.08423662, -0.8918312, -0.5249939, -0.0009840521, 0.9619543, 0.2335144, 0.6652601, 0.1744948, -0.6873511, -0.3747982, -0.3707883, 1.420645, 0.3351691, -0.03146863, -0.2402602, -0.910465;
0.2229601, -0.338597, 0.08802883, 1.094077, -0.274007, 0.3417338, -0.08353429, -0.8950755, -0.5187292, 0.007917777, 0.9643533, 0.25448, 0.6514317, 0.1822088, -0.6911415, -0.3613685, -0.3385322, 1.414088, 0.2901973, -0.06095336, -0.1980464, -0.9342633;
